epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.106,2.74651,5.12144,2.06639,0.00247,0.77778,0.00492,0.00207,1.87319,3.9461,1.55994,0.0811,0.0021,0.0021
2,374.333,2.02842,2.82193,1.46966,0.00267,0.83951,0.07724,0.03091,1.72265,3.29329,1.44673,0.0612989,0.00429895,0.00429895
3,386.136,1.95311,2.28282,1.39418,0.00253,0.79012,0.40612,0.22143,1.77636,3.07654,1.51502,0.0414937,0.00649365,0.00649365
4,397.519,1.82259,2.18753,1.32993,0.48803,0.14815,0.29948,0.12137,1.87426,2.94973,1.53383,0.0216809,0.00868089,0.00868089
5,408.498,1.94869,2.20243,1.395,0.8576,0.2231,0.44464,0.23431,1.93083,2.68961,1.4769,0.00996097,0.00996097,0.00996097
6,420.305,1.95906,2.09849,1.4063,0.67231,0.37037,0.43273,0.21045,2.01045,2.27513,1.64306,0.00993906,0.00993906,0.00993906
7,431.446,1.83655,1.99281,1.35437,0.84542,0.4727,0.60054,0.35405,1.88788,1.69883,1.62487,0.00991232,0.00991232,0.00991232
8,441.739,1.8589,1.87666,1.38604,0.51648,0.45679,0.30748,0.12408,2.10144,2.98184,1.77747,0.00988079,0.00988079,0.00988079
9,452.332,1.98518,1.99349,1.3979,0.47456,0.34568,0.35503,0.18545,1.83876,4.02447,1.57712,0.00984449,0.00984449,0.00984449
10,463,1.86599,1.84744,1.35786,0.74472,0.41975,0.54511,0.29763,1.99334,2.47983,1.69079,0.00980345,0.00980345,0.00980345
11,473.666,1.71473,1.62481,1.28831,0.67369,0.4321,0.49277,0.26381,2.16107,2.15824,1.74062,0.00975773,0.00975773,0.00975773
12,484.488,1.83791,1.69397,1.34198,0.58005,0.51852,0.49597,0.21693,2.21599,2.52363,1.74275,0.00970736,0.00970736,0.00970736
13,495.109,1.79175,1.67137,1.38371,0.78047,0.50617,0.59965,0.34617,1.85067,2.14097,1.50127,0.00965239,0.00965239,0.00965239
14,505.842,1.73869,1.57652,1.31026,0.68907,0.5679,0.57748,0.3302,1.82035,1.75858,1.4781,0.00959289,0.00959289,0.00959289
15,516.014,1.66075,1.50692,1.29743,0.83246,0.55214,0.69346,0.3998,1.77595,1.51955,1.48142,0.00952889,0.00952889,0.00952889
16,526.657,1.66959,1.46773,1.30528,0.87044,0.59259,0.71204,0.39418,1.94824,1.57479,1.60185,0.00946048,0.00946048,0.00946048
17,537.36,1.62781,1.36095,1.24032,0.86936,0.55556,0.62884,0.37507,1.83889,1.53,1.48108,0.00938772,0.00938772,0.00938772
18,547.785,1.66421,1.37262,1.2725,0.94974,0.59259,0.68854,0.42696,1.78288,1.47317,1.46098,0.00931067,0.00931067,0.00931067
19,558.419,1.63117,1.34897,1.26787,0.86022,0.60787,0.69678,0.43231,1.66337,1.43484,1.41588,0.00922942,0.00922942,0.00922942
20,569.218,1.51157,1.26966,1.20845,0.80804,0.62365,0.65564,0.40357,1.71284,1.57884,1.45501,0.00914405,0.00914405,0.00914405
21,579.83,1.5066,1.24237,1.17643,0.81187,0.62963,0.72743,0.4552,1.64278,1.46174,1.38195,0.00905463,0.00905463,0.00905463
22,591.506,1.54668,1.22622,1.18508,0.70238,0.5536,0.64022,0.3559,1.7261,1.56843,1.46173,0.00896127,0.00896127,0.00896127
23,602.814,1.53713,1.21987,1.2422,0.82618,0.65432,0.73837,0.46461,1.53476,1.28129,1.31906,0.00886404,0.00886404,0.00886404
24,614.216,1.50803,1.20078,1.18408,0.80589,0.6151,0.70318,0.44493,1.53282,1.35089,1.36878,0.00876305,0.00876305,0.00876305
25,625.648,1.44416,1.12117,1.14851,0.78546,0.67901,0.73615,0.48418,1.57687,1.3494,1.38355,0.00865839,0.00865839,0.00865839
26,636.632,1.50216,1.15111,1.15402,0.81712,0.71605,0.76865,0.47815,1.72683,1.41455,1.4647,0.00855018,0.00855018,0.00855018
27,648.028,1.55706,1.16096,1.23297,0.77296,0.74074,0.79401,0.5194,1.5018,1.1982,1.33257,0.00843851,0.00843851,0.00843851
28,659.439,1.41656,1.09149,1.1492,0.89806,0.67901,0.76846,0.48588,1.54844,1.19495,1.30961,0.00832349,0.00832349,0.00832349
29,670.763,1.4203,1.08532,1.16075,0.93674,0.69136,0.80758,0.54981,1.40029,1.16676,1.25621,0.00820525,0.00820525,0.00820525
